symbol,timeframe,strategy_name,params,is_pf,is_win_rate,is_max_dd,is_trades,oos_pf,oos_win_rate,oos_max_dd,oos_trades,degradation,verdict,confirm_net_profit,confirm_profit_factor,confirm_win_rate,confirm_max_dd,confirm_trades,holdout_pairs,holdout_positives,holdout_avg_pf,holdout_net,generalized,registered
ALGOUSDT,4h,rsi_ob_os,RSI_PERIOD=7,1.21,40.0,22.47,30,2.08,54.5,15.05,11,-71.9,robust,2914.28,1.27,43.6,26.41,39,,,,,,
AXSUSDT,1h,atr_breakout,ATR_PERIOD=21|ATR_MULTIPLIER=2.0,1.23,45.9,21.03,37,1.24,40.0,11.3,20,-0.81,robust,2025.63,1.24,43.9,21.03,57,,,,,,
BONKUSDT,4h,bearish_engulfing,LOOKBACK=5,1.21,40.9,25.93,22,,100.0,32.94,1,0.0,robust,-710.93,0.92,37.5,25.93,32,,,,,,
FILUSDT,4h,rsi_ob_os,RSI_PERIOD=7,1.22,42.3,23.91,26,1.28,42.9,16.66,14,-4.92,robust,1553.01,1.13,41.7,30.81,36,,,,,,
FILUSDT,4h,stochastic,K_PERIOD=21,1.37,41.4,39.73,29,1.28,44.4,15.26,18,6.57,robust,1036.96,1.09,38.5,39.73,39,,,,,,
FLOWUSDT,4h,rsi_ob_os,RSI_PERIOD=14,1.22,41.9,24.46,31,2.43,57.1,12.16,14,-99.18,robust,5406.46,1.51,45.7,24.46,46,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.8375,-1052.54,False,
FLOWUSDT,4h,rsi_ob_os,RSI_PERIOD=21,1.33,38.9,18.26,18,2.28,53.8,12.25,13,-71.43,robust,5479.87,1.74,45.2,18.26,31,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.6625,-8054.3,False,
FLOWUSDT,4h,bullish_engulfing,LOOKBACK=2,1.4,46.7,22.0,30,2.12,53.8,15.87,13,-51.43,robust,7029.33,1.55,46.5,22.0,43,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.9375,-4202.57,False,
LTCUSDT,4h,volume_spike,LOOKBACK=20|MULTIPLIER=2.0,1.35,42.3,13.57,26,1.43,45.5,7.82,11,-5.93,robust,1187.19,1.23,40.5,13.57,37,,,,,,
LTCUSDT,4h,volume_spike,LOOKBACK=20|MULTIPLIER=2.5,1.35,42.3,13.57,26,1.43,45.5,7.82,11,-5.93,robust,1187.19,1.23,40.5,13.57,37,,,,,,
LTCUSDT,4h,volume_spike,LOOKBACK=40|MULTIPLIER=2.0,1.35,42.3,13.57,26,1.43,45.5,7.82,11,-5.93,robust,1187.19,1.23,40.5,13.57,37,,,,,,
LTCUSDT,4h,volume_spike,LOOKBACK=40|MULTIPLIER=2.5,1.35,42.3,13.57,26,1.43,45.5,7.82,11,-5.93,robust,1187.19,1.23,40.5,13.57,37,,,,,,
NEARUSDT,1h,bollinger_bounce,PERIOD=15|NUM_STD=2.5,1.2,33.3,10.77,15,2.19,50.0,7.88,10,-82.5,robust,1268.22,1.45,38.5,10.77,26,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.64,-7284.66,False,
ONDOUSDT,1h,atr_breakout,ATR_PERIOD=7|ATR_MULTIPLIER=2.0,1.21,45.5,26.77,44,1.56,35.7,10.01,14,-28.93,robust,2431.15,1.29,43.1,26.77,58,,,,,,
RAYUSDT,4h,rsi_divergence,RSI_PERIOD=14|PIVOT_WINDOW=30,1.47,45.8,21.77,24,1.64,60.0,6.88,5,-11.56,robust,1854.9,1.28,44.8,21.77,29,,,,,,
RAYUSDT,4h,rsi_divergence,RSI_PERIOD=14|PIVOT_WINDOW=45,1.47,45.8,21.77,24,1.64,60.0,6.88,5,-11.56,robust,1854.9,1.28,44.8,21.77,29,,,,,,
RENDERUSDT,4h,price_channel,PERIOD=20,1.55,42.9,20.93,21,1.23,50.0,16.03,10,20.65,robust,4434.98,1.5,46.7,20.93,30,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.54,-16727.45,False,
RENDERUSDT,4h,price_channel,PERIOD=40,1.55,42.9,20.93,21,1.23,50.0,16.03,10,20.65,robust,4434.98,1.5,46.7,20.93,30,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.54,-16727.45,False,
RENDERUSDT,4h,price_channel,PERIOD=60,1.55,42.9,20.93,21,1.23,50.0,16.03,10,20.65,robust,4434.98,1.5,46.7,20.93,30,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.54,-16727.45,False,
SOLUSDT,1h,bollinger_bounce,PERIOD=15|NUM_STD=2.5,1.24,36.4,8.7,33,1.49,46.2,5.38,13,-20.16,robust,1170.81,1.3,39.1,8.7,46,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.64,-7284.66,False,
SOLUSDT,4h,rsi_ob_os,RSI_PERIOD=21,2.44,52.9,10.85,17,3.21,71.4,9.7,7,-31.56,robust,5563.01,2.47,56.0,10.85,25,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.6625,-8054.3,False,
TIAUSDT,1h,bollinger_bounce,PERIOD=15|NUM_STD=2.5,1.65,39.1,17.69,23,1.27,44.4,8.21,18,23.03,robust,2546.48,1.48,41.5,17.69,41,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.64,-7284.66,False,
AAVEUSDT,1h,cci_breakout,CCI_PERIOD=20|UP_LEVEL=150.0|DOWN_LEVEL=-150.0,1.53,44.0,14.81,75,1.29,42.4,13.84,33,15.69,robust,7173.33,1.45,43.5,15.86,108,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.745,-11571.31,False,
AAVEUSDT,4h,cci_breakout,CCI_PERIOD=20|UP_LEVEL=100.0|DOWN_LEVEL=-100.0,1.3,50.0,21.78,22,1.87,50.0,4.37,8,-43.85,robust,1775.44,1.23,43.8,21.78,32,,,,,,
AAVEUSDT,4h,cci_breakout,CCI_PERIOD=20|UP_LEVEL=100.0|DOWN_LEVEL=-150.0,1.31,42.9,19.18,21,1.23,42.9,9.82,7,6.11,robust,1507.16,1.22,41.4,19.18,29,,,,,,
AAVEUSDT,4h,obv_slope,WINDOW=25,1.46,47.8,23.05,23,1.35,60.0,12.11,5,7.53,robust,2612.73,1.31,44.8,26.53,29,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.825,-1999.88,False,
ADAUSDT,4h,sma_crossover,FAST_SMA=10|SLOW_SMA=50,1.24,35.3,24.27,17,6.36,83.3,5.73,6,-412.9,robust,4328.58,2.22,50.0,24.27,24,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.545,-10696.84,False,
ADAUSDT,4h,rsi_50_cross,RSI_PERIOD=14,1.36,34.6,21.04,26,4.01,66.7,14.92,6,-194.85,robust,5204.83,1.88,43.8,21.04,32,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.745,-8949.17,False,
ADAUSDT,4h,cci_breakout,CCI_PERIOD=10|UP_LEVEL=150.0|DOWN_LEVEL=-100.0,1.3,41.4,19.18,29,3.28,66.7,4.69,12,-152.31,robust,7594.42,2.0,51.2,19.18,41,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.6875,-10262.95,False,
ADAUSDT,4h,cci_breakout,CCI_PERIOD=20|UP_LEVEL=150.0|DOWN_LEVEL=-100.0,1.67,45.8,29.3,24,2.45,66.7,11.95,6,-46.71,robust,4539.56,1.87,48.4,29.3,31,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.485,-16536.95,False,
ADAUSDT,4h,cci_breakout,CCI_PERIOD=10|UP_LEVEL=100.0|DOWN_LEVEL=-100.0,1.28,39.5,25.21,38,1.6,53.8,11.0,13,-25.0,robust,5527.73,1.49,45.1,25.21,51,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.6525,-12917.93,False,
ADAUSDT,4h,roc_momentum,ROC_PERIOD=20,1.29,35.7,20.08,28,3.21,62.5,6.78,8,-148.84,robust,5148.56,1.81,43.2,20.08,37,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.905,-5438.37,False,
ALGOUSDT,1h,sma_crossover,FAST_SMA=50|SLOW_SMA=150,2.7,52.6,9.0,19,2.26,66.7,3.7,6,16.3,robust,4168.62,2.61,57.7,9.0,26,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.67,-6326.02,False,
ALGOUSDT,4h,rsi_50_cross,RSI_PERIOD=14,2.05,54.2,16.72,24,1.97,62.5,15.62,8,3.9,robust,8673.76,1.94,56.2,16.72,32,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.745,-8949.17,False,
ALGOUSDT,4h,roc_momentum,ROC_PERIOD=30,1.76,47.4,24.83,19,1.6,66.7,15.27,6,9.09,robust,4038.45,1.72,50.0,24.83,24,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.63,-11629.98,False,
ALGOUSDT,4h,obv_slope,WINDOW=25,1.79,45.0,15.49,20,2.41,80.0,13.39,5,-34.64,robust,4304.87,1.69,48.1,15.49,27,ARUSDT;DOGEUSDT;JTOUSDT;LINKUSDT,4,0.825,-1999.88,False,
BNBUSDT,4h,rsi_50_cross,RSI_PERIOD=7,1.27,42.4,10.82,33,,100.0,8.47,1,0.0,robust,415.74,1.07,37.8,17.43,45,,,,,,
BNBUSDT,4h,cci_breakout,CCI_PERIOD=20|UP_LEVEL=100.0|DOWN_LEVEL=-100.0,1.26,40.6,12.8,32,1.32,40.0,8.36,10,-4.76,robust,1034.35,1.19,38.6,22.12,44,,,,,,
BONKUSDT,4h,rsi_50_cross,RSI_PERIOD=14,1.43,43.8,31.87,16,1.24,40.0,22.34,10,13.29,robust,1347.81,1.19,37.5,31.87,24,,,,,,
