symbol,timeframe,strategy_name,n_total,n_failed,n_overfit,n_robust,mean_is_pf,mean_oos_pf,mean_oos_dd,median_trades
AAVEUSDT,5m,rsi_ob_os,0,0,0,0,,,,
AAVEUSDT,5m,stochastic,0,0,0,0,,,,
AAVEUSDT,5m,macd_crossover,0,0,0,0,,,,
AAVEUSDT,5m,bollinger_bounce,0,0,0,0,,,,
AAVEUSDT,5m,ema_crossover,0,0,0,0,,,,
AAVEUSDT,5m,atr_breakout,0,0,0,0,,,,
AAVEUSDT,5m,price_channel,0,0,0,0,,,,
AAVEUSDT,5m,golden_cross,0,0,0,0,,,,
AAVEUSDT,5m,volume_spike,0,0,0,0,,,,
AAVEUSDT,5m,rsi_divergence,0,0,0,0,,,,
AAVEUSDT,5m,bullish_engulfing,0,0,0,0,,,,
AAVEUSDT,5m,bearish_engulfing,0,0,0,0,,,,
AAVEUSDT,15m,ema_crossover,0,0,0,0,,,,
AAVEUSDT,15m,rsi_ob_os,0,0,0,0,,,,
AAVEUSDT,15m,macd_crossover,0,0,0,0,,,,
AAVEUSDT,15m,bollinger_bounce,0,0,0,0,,,,
AAVEUSDT,15m,stochastic,0,0,0,0,,,,
AAVEUSDT,15m,atr_breakout,0,0,0,0,,,,
AAVEUSDT,15m,price_channel,0,0,0,0,,,,
AAVEUSDT,15m,volume_spike,0,0,0,0,,,,
AAVEUSDT,15m,golden_cross,0,0,0,0,,,,
AAVEUSDT,15m,bullish_engulfing,0,0,0,0,,,,
AAVEUSDT,15m,rsi_divergence,0,0,0,0,,,,
AAVEUSDT,15m,bearish_engulfing,0,0,0,0,,,,
AAVEUSDT,30m,ema_crossover,0,0,0,0,,,,
AAVEUSDT,30m,macd_crossover,0,0,0,0,,,,
AAVEUSDT,30m,rsi_ob_os,0,0,0,0,,,,
AAVEUSDT,30m,stochastic,0,0,0,0,,,,
AAVEUSDT,30m,atr_breakout,0,0,0,0,,,,
AAVEUSDT,30m,bollinger_bounce,0,0,0,0,,,,
AAVEUSDT,30m,price_channel,0,0,0,0,,,,
AAVEUSDT,30m,volume_spike,0,0,0,0,,,,
AAVEUSDT,30m,golden_cross,0,0,0,0,,,,
AAVEUSDT,30m,rsi_divergence,0,0,0,0,,,,
AAVEUSDT,30m,bullish_engulfing,0,0,0,0,,,,
AAVEUSDT,30m,bearish_engulfing,0,0,0,0,,,,
AAVEUSDT,1h,ema_crossover,0,0,0,0,,,,
AAVEUSDT,1h,macd_crossover,0,0,0,0,,,,
AAVEUSDT,1h,rsi_ob_os,0,0,0,0,,,,
AAVEUSDT,1h,stochastic,0,0,0,0,,,,
AAVEUSDT,1h,atr_breakout,0,0,0,0,,,,
AAVEUSDT,1h,bollinger_bounce,0,0,0,0,,,,
AAVEUSDT,1h,price_channel,0,0,0,0,,,,
AAVEUSDT,1h,volume_spike,0,0,0,0,,,,
AAVEUSDT,1h,golden_cross,0,0,0,0,,,,
AAVEUSDT,1h,rsi_divergence,0,0,0,0,,,,
AAVEUSDT,1h,bullish_engulfing,0,0,0,0,,,,
AAVEUSDT,1h,bearish_engulfing,0,0,0,0,,,,
AAVEUSDT,4h,ema_crossover,0,0,0,0,,,,
AAVEUSDT,4h,macd_crossover,0,0,0,0,,,,
AAVEUSDT,4h,rsi_ob_os,0,0,0,0,,,,
AAVEUSDT,4h,stochastic,0,0,0,0,,,,
AAVEUSDT,4h,atr_breakout,0,0,0,0,,,,
AAVEUSDT,4h,bollinger_bounce,0,0,0,0,,,,
