strategy_name,timeframe,n_datasets,n_total,n_failed,n_overfit,n_robust,pct_robust,mean_is_pf,mean_oos_pf,mean_oos_dd,median_trades
atr_breakout,15m,44,5,5,0,0,0.0,1.3756,0.5056,15.0122,20.0
atr_breakout,1d,44,0,0,0,0,0.0,,,,
atr_breakout,1h,44,12,8,2,2,16.67,1.3122,0.7133,15.3383,17.5
atr_breakout,30m,44,0,0,0,0,0.0,,,,
atr_breakout,4h,44,0,0,0,0,0.0,,,,
atr_breakout,5m,44,0,0,0,0,0.0,,,,
bearish_engulfing,15m,44,0,0,0,0,0.0,,,,
bearish_engulfing,1d,44,0,0,0,0,0.0,,,,
bearish_engulfing,1h,44,1,1,0,0,0.0,1.24,0.94,12.55,35.0
bearish_engulfing,30m,44,0,0,0,0,0.0,,,,
bearish_engulfing,4h,44,15,14,0,1,6.67,1.5475,0.3328,28.571,5.75
bearish_engulfing,5m,44,0,0,0,0,0.0,,,,
bollinger_bounce,15m,44,1,1,0,0,0.0,1.31,0.0,16.64,10.0
bollinger_bounce,1d,44,0,0,0,0,0.0,,,,
bollinger_bounce,1h,44,7,3,1,3,42.86,1.4558,1.2283,8.7425,13.5
bollinger_bounce,30m,44,2,2,0,0,0.0,1.345,0.69,12.02,30.5
bollinger_bounce,4h,44,2,2,0,0,0.0,2.105,0.715,12.115,6.0
bollinger_bounce,5m,44,0,0,0,0,0.0,,,,
bullish_engulfing,15m,44,0,0,0,0,0.0,,,,
bullish_engulfing,1d,44,0,0,0,0,0.0,,,,
bullish_engulfing,1h,44,0,0,0,0,0.0,,,,
bullish_engulfing,30m,44,0,0,0,0,0.0,,,,
bullish_engulfing,4h,44,3,2,0,1,33.33,1.3233,1.1833,18.3633,11.0
bullish_engulfing,5m,44,0,0,0,0,0.0,,,,
cci_breakout,15m,44,0,0,0,0,0.0,,,,
cci_breakout,1d,44,0,0,0,0,0.0,,,,
cci_breakout,1h,44,3,1,1,1,33.33,1.3175,1.05,14.7625,32.5
cci_breakout,30m,44,0,0,0,0,0.0,,,,
cci_breakout,4h,44,79,42,6,31,39.24,1.558,1.3574,13.509,9.5
cci_breakout,5m,44,0,0,0,0,0.0,,,,
donchian_breakout,15m,44,0,0,0,0,0.0,,,,
donchian_breakout,1d,44,0,0,0,0,0.0,,,,
donchian_breakout,1h,44,0,0,0,0,0.0,,,,
donchian_breakout,30m,44,0,0,0,0,0.0,,,,
donchian_breakout,4h,44,12,10,1,1,8.33,1.5988,0.7325,16.2913,9.0
donchian_breakout,5m,44,0,0,0,0,0.0,,,,
ema_crossover,15m,44,0,0,0,0,0.0,,,,
ema_crossover,1d,44,0,0,0,0,0.0,,,,
ema_crossover,1h,44,0,0,0,0,0.0,,,,
ema_crossover,30m,44,0,0,0,0,0.0,,,,
ema_crossover,4h,44,0,0,0,0,0.0,,,,
ema_crossover,5m,44,0,0,0,0,0.0,,,,
golden_cross,15m,44,0,0,0,0,0.0,,,,
golden_cross,1d,44,0,0,0,0,0.0,,,,
golden_cross,1h,44,0,0,0,0,0.0,,,,
golden_cross,30m,44,0,0,0,0,0.0,,,,
golden_cross,4h,44,1,1,0,0,0.0,1.27,0.56,38.21,18.0
golden_cross,5m,44,0,0,0,0,0.0,,,,
heikin_ashi_ema,15m,44,0,0,0,0,0.0,,,,
heikin_ashi_ema,1d,44,0,0,0,0,0.0,,,,
heikin_ashi_ema,1h,44,0,0,0,0,0.0,,,,
heikin_ashi_ema,30m,44,0,0,0,0,0.0,,,,
heikin_ashi_ema,4h,44,0,0,0,0,0.0,,,,
heikin_ashi_ema,5m,44,0,0,0,0,0.0,,,,
keltner_breakout,15m,44,1,1,0,0,0.0,1.85,0.0,12.61,10.0
keltner_breakout,1d,44,0,0,0,0,0.0,,,,
keltner_breakout,1h,44,1,1,0,0,0.0,1.68,0.25,22.59,13.0
keltner_breakout,30m,44,4,3,0,1,25.0,1.47,0.605,17.0225,15.5
keltner_breakout,4h,44,15,11,0,4,26.67,1.4748,0.9433,14.0829,8.0
keltner_breakout,5m,44,1,1,0,0,0.0,1.26,0.0,5.31,2.0
macd_crossover,15m,44,0,0,0,0,0.0,,,,
macd_crossover,1d,44,0,0,0,0,0.0,,,,
macd_crossover,1h,44,0,0,0,0,0.0,,,,
macd_crossover,30m,44,0,0,0,0,0.0,,,,
macd_crossover,4h,44,0,0,0,0,0.0,,,,
macd_crossover,5m,44,0,0,0,0,0.0,,,,
obv_slope,15m,44,0,0,0,0,0.0,,,,
obv_slope,1d,44,0,0,0,0,0.0,,,,
obv_slope,1h,44,1,1,0,0,0.0,1.22,0.63,25.85,46.0
obv_slope,30m,44,0,0,0,0,0.0,,,,
obv_slope,4h,44,20,12,0,8,40.0,1.4563,0.9985,18.4239,8.0
obv_slope,5m,44,0,0,0,0,0.0,,,,
price_channel,15m,44,0,0,0,0,0.0,,,,
price_channel,1d,44,0,0,0,0,0.0,,,,
price_channel,1h,44,0,0,0,0,0.0,,,,
price_channel,30m,44,0,0,0,0,0.0,,,,
